Conventions,G,BADC-CSV,1
title,G,uk-daily-temperature-obs
source,G,Met Office MIDAS database
creator,G,Met Office
activity,G,Met Office MIDAS Open: UK Land Surface Stations Data
feature_type,G,point series
collection_name,G,midas-open
collection_version_number,G,dataset-version-202207
history,G,Created 2022-07-29
last_revised_date,G,2022-07-29
observation_station,G,heathrow
historic_county_name,G,greater-london
midas_station_id,G,00708
location,G,51.479,-0.451
height,G,25,m
date_valid,G,2008-01-01 00:00:00,2008-12-31 23:59:59
midas_qc_version_number,G,0
comments,G,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
comments,G,This file contains station observations
comments,G,missing values are identified with the missing data flag
missing_value,G,NA
coordinate_variable,ob_end_time,t
long_name,ob_end_time,Date and time at end of observation,s
type,ob_end_time,char
comments,ob_end_time,Date and time (YYYY-MM-DD HH:MM:SS) at the end of the observation period
comments,ob_end_time,Use ob_end_time in conjunction with ob_hour_count to determine the period over which the observation relates.
comments,ob_end_time,Common periods include 12 hour observations ending at 0900 or 2100 or 24 hour observations ending at 0900.
long_name,id_type,identifier type,1
type,id_type,char
comments,id_type,a station may have more than one id assigned to it defined by id_type
long_name,id,station identifier,1
type,id,char
comments,id,a station may have more than one id assigned to it 
long_name,ob_hour_count,observation hour count,hours
type,ob_hour_count,int
comments,ob_hour_count,number of hours the observation period spans
long_name,version_num,midas qc version number,1
type,version_num,int
comments,version_num,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
long_name,met_domain_name,message type,1
type,met_domain_name,char
comments,met_domain_name,message type (see MIDAS documentation)
long_name,src_id,unique MIDAS source identifier,1
type,src_id,int
long_name,rec_st_ind,state indicator for the record,1
type,rec_st_ind,int
comments,rec_st_ind,state indicator for the current stage in the life of the record (see MIDAS documentation)
long_name,max_air_temp,maximum air temperature,degC
type,max_air_temp,float
comments,max_air_temp,maximum air temperature recorded during the observation period
long_name,min_air_temp,minimum air temperature,degC
type,min_air_temp,float
comments,min_air_temp,minimum air temperature recorded during the observation period
long_name,min_grss_temp,minimum grass temperature, degC
type,min_grss_temp,float
comments,min_grss_temp,minimum grass temperature recorded during the observation period
long_name,min_conc_temp,minimum concrete temperature, degC
type,min_conc_temp,float
comments,min_conc_temp,minimum concrete temperature recorded during the observation period
long_name,max_air_temp_q,maximum air temperature qc code,1
type,max_air_temp_q,int
comments,max_air_temp_q,maximum air temperature qc code (see MIDAS documentation)
long_name,min_air_temp_q,minimum air temperature qc code,1
type,min_air_temp_q,int
comments,min_air_temp_q,minimum air temperature qc code (see MIDAS documentation)
long_name,min_grss_temp_q,minimum grass temperature qc code,1
type,min_grss_temp_q,int
comments,min_grss_temp_q,minimum grass temperature qc code (see MIDAS documentation)
long_name,min_conc_temp_q,minimum concrete temperature qc code,1
type,min_conc_temp_q,int
comments,min_conc_temp_q,minimum concrete temperature qc code (see MIDAS documentation)
long_name,max_air_temp_j,maximum air temperature descriptor code,1
type,max_air_temp_j,int
comments,max_air_temp_j,maximum air temperature descriptor code (see MIDAS documentation)
long_name,min_air_temp_j,minimum air temperature descriptor code,1
type,min_air_temp_j,int
comments,min_air_temp_j,minimum air temperature descriptor code (see MIDAS documentation)
long_name,min_grss_temp_j,minimum grass temperature descriptor code,1
type,min_grss_temp_j,int
comments,min_grss_temp_j,minimum grass temperature descriptor code (see MIDAS documentation)
long_name,min_conc_temp_j,minimum concrete temperature descriptor code,1
type,min_conc_temp_j,int
comments,min_conc_temp_j,minimum concrete temperature descriptor code (see MIDAS documentation)
long_name,meto_stmp_time,Met Office receipt stamp time,s
type,meto_stmp_time,char
comments,meto_stmp_time,Met Office receipt stamp time as YYYY-MM-DD HH:MM:SS
long_name,midas_stmp_etime,elapsed time to storage in MIDAS,minutes
type,midas_stmp_etime,int
comments,midas_stmp_etime,elapsed time to storage in MIDAS in minutes
data
ob_end_time,id_type,id,ob_hour_count,version_num,met_domain_name,src_id,rec_st_ind,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q,min_grss_temp_q,min_conc_temp_q,max_air_temp_j,min_air_temp_j,min_grss_temp_j,min_conc_temp_j,meto_stmp_time,midas_stmp_etime
2008-01-13 21:00:00,DCNN,5113,12,0,NCM,708,1012,10.9,8.7,NA,NA,151,1,NA,NA,NA,NA,NA,NA,2008-01-13 21:05:00,237
2008-02-06 21:00:00,DCNN,5113,12,0,NCM,708,1012,9.6,1.1,NA,NA,151,151,NA,NA,NA,NA,NA,NA,2008-02-06 21:11:00,231
2008-02-19 09:00:00,DCNN,5113,12,0,NCM,708,1012,3.4,0.1,-6.7,-2.4,151,1,1,1,NA,NA,NA,NA,2008-02-19 09:51:00,911
2008-02-20 21:00:00,DCNN,5113,12,0,NCM,708,1012,5.3,2,NA,NA,1,151,NA,NA,NA,NA,NA,NA,2008-02-20 21:23:00,219
2008-02-27 09:00:00,DCNN,5113,12,0,NCM,708,1012,6.7,3.3,-0.7,2.2,151,1,1,1,NA,NA,NA,NA,2008-02-27 09:14:00,37
2008-07-15 09:00:00,DCNN,5113,12,0,NCM,708,1012,19.6,16.9,16.7,17.5,151,1,1,1,NA,NA,NA,NA,2008-07-15 10:32:00,869
2008-09-20 09:00:00,DCNN,5113,12,0,NCM,708,1012,13.8,8,1.8,5.8,151,1,1,1,NA,NA,NA,NA,2008-09-20 09:27:00,23
end data
