Data supplied by UK-AIR on 14/6/2022
All Data GMT hour ending  
Rows begining ## are Provisional
London Honor Oak Park PM<sub>2.5</sub> particulate matter (Hourly measured) ug/m-3
   Date   , 01:00, 02:00, 03:00, 04:00, 05:00, 06:00, 07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00, 24:00
01-01-2020,58.562,46.745,45.896,39.552,39.293,39.340,38.538,37.500,32.830,28.821,30.142,32.830,34.670,35.778,33.679,35.472,32.382,31.816,28.538,27.311,24.906,26.321,21.297,15.354
02-01-2020,10.778, 9.151, 9.906, 9.953, 9.859, 9.788, 8.420, 5.236, 5.000, 4.976, 3.561, 3.609, 3.538, 4.693, 5.189, 5.660, 5.849, 5.142, 3.962, 3.609, 4.835, 5.354, 6.274, 6.014
03-01-2020, 6.344, 4.929, 5.401, 3.066, 1.934, 0.920, 0.920, 1.462, 3.113, 2.429, 4.387, 5.826, 5.826, 3.420, 4.976, 6.109, 6.769, 7.830,11.392,11.981,11.981,10.684, 9.151, 8.986
04-01-2020, 8.019, 6.863, 6.910, 6.368, 5.778, 5.024, 4.906, 5.024, 4.717, 4.245, 3.632, 4.009, 3.585, 3.160, 2.807, 2.877, 3.797, 6.297, 9.316,10.590,11.816,11.910,15.024,14.104
05-01-2020,11.203, 8.208, 6.109, 4.009, 2.571, 1.769, 1.392, 1.297, 1.321, 1.439, 1.297, 0.943, 1.014, 2.382, 1.934, 2.193, 3.632, 4.127, 4.292, 7.076, 6.840, 6.109, 5.542, 7.429
06-01-2020, 6.863, 4.552, 3.703, 3.915, 5.000, 6.981, 8.396, 6.675, 6.014, 5.259, 4.717, 5.448, 5.660, 6.887, 7.217, 7.901, 7.241, 6.392, 5.967, 4.929, 6.085, 9.693,12.005,12.995
07-01-2020,12.736,12.877,12.524,12.076,10.543,10.684,10.613,11.250,11.816,12.689,11.627,11.840,12.382,11.392,10.991, 6.816, 5.071, 3.821, 2.217, 1.486, 1.580, 1.156, 0.943, 1.085
08-01-2020, 1.344, 1.392, 1.792, 1.462, 1.156, 2.429, 2.052, 3.656, 8.255,10.778,11.910,14.245,15.330,17.359,16.392,17.547,17.241,16.816,18.208,18.231,19.741,16.604, 9.340, 3.939
09-01-2020, 1.203, 1.392, 1.014, 1.321, 1.580, 1.156, 0.920, 1.226, 2.524, 2.783, 4.575, 5.212, 5.189, 4.127, 3.160, 2.571, 1.981, 4.127, 5.802, 8.915, 9.057, 7.712, 2.877, 5.991
10-01-2020, 6.816, 7.052, 8.090, 6.203, 4.599, 5.542, 7.783, 4.009, 2.193, 2.689, 2.594, 2.830, 2.075, 2.995, 4.528, 5.637, 7.005,11.392, 7.642, 7.642, 7.995, 8.609, 6.840, 6.580
